"Figure","Major_cell_type","Cell_subtype","Cancer_type","Observed_cell_count","Expected_cell_count","Ro_e","Ro_e_display","Ro_e_symbol","N_samples","N_datasets","Chi_square_statistic","Chi_square_df","Chi_square_p_value"
"Supplementary Fig. 6e","Myeloid","CD1C+ cDC","BRCA",1684,2077.13701581597,0.810731303316777,0.81,"+",63,2,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","CD1C+ cDC","COCA",528,839.255868106418,0.629128755681276,0.63,"+",57,3,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","CD1C+ cDC","HNCA",1257,1261.8598867983,0.99614863199223,1,"+",46,3,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","CD1C+ cDC","KICA",1437,1571.54275119988,0.914388106147824,0.91,"+",23,3,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","CD1C+ cDC","LICA",1285,1673.32484584257,0.767932181962529,0.77,"+",46,2,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","CD1C+ cDC","LUCA",3944,6726.63153132346,0.586326154723094,0.59,"+",75,2,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","CD1C+ cDC","OVCA",2564,3030.84459602687,0.845968811255168,0.85,"+",66,7,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","CD1C+ cDC","PACA",1823,2606.62498853113,0.699371796104543,0.7,"+",35,4,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","CD1C+ cDC","PRCA",2406,1760.22651729189,1.36686953432654,1.37,"++",49,2,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","CD1C+ cDC","SKCA",5220,1180.3151676986,4.42254758970695,4.42,"+++",17,1,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","CD1C+ cDC","STCA",1274,2039.29822540995,0.624724713691099,0.62,"+",68,4,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","CD1C+ cDC","THCA",3341,1902.82348697927,1.75581183586494,1.76,"++",40,2,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","CD1C+ cDC","UECA",113,206.11511897568,0.54823731787154,0.55,"+",4,1,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","CLEC9A+ cDC","BRCA",330,314.012788185008,1.05091261380595,1.05,"++",47,2,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","CLEC9A+ cDC","COCA",50,126.87515225913,0.394088197016544,0.39,"+",21,3,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","CLEC9A+ cDC","HNCA",312,190.762640276139,1.63554037388224,1.64,"++",32,3,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","CLEC9A+ cDC","KICA",277,237.579185820997,1.16592705309086,1.17,"++",19,3,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","CLEC9A+ cDC","LICA",620,252.966172371572,2.45092058826468,2.45,"++",44,2,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","CLEC9A+ cDC","LUCA",562,1016.90370262566,0.55265803295721,0.55,"+",66,2,89608.6451730528,180,0
