"Feat_pair","cancer_type","Region","median_J_comp","mean_J_comp","n"
"Epithelial-B cell","LUCA","Malignant",0.28324899,0.2858766,22
"Epithelial-B cell","LUCA","Normal",0.13022759,0.17120512,22
"Epithelial-B cell","OVCA","Boundary",0.43313343,0.44092102,24
"Epithelial-B cell","OVCA","Malignant",0.20368492,0.23396195,24
"Epithelial-B cell","OVCA","Normal",0.16449345,0.19364225,24
"Epithelial-B cell","PDAC","Boundary",0.22562081,0.22616741,14
"Epithelial-B cell","PDAC","Malignant",0,0.17074698,14
"Epithelial-B cell","PDAC","Normal",0.1268983,0.1578763,14
"Epithelial-B cell","PRCA","Boundary",0.25313283,0.30170304,8
"Epithelial-B cell","PRCA","Malignant",0.33169765,0.35857242,8
"Epithelial-B cell","PRCA","Normal",0.07859552,0.08514458,8
"Epithelial-B cell","SKCA","Boundary",0.16598445,0.31168904,16
"Epithelial-B cell","SKCA","Malignant",0,0.09100359,16
"Epithelial-B cell","SKCA","Normal",0.02811664,0.0319941,16
"Epithelial-B cell","STCA","Boundary",0.3025641,0.31505027,11
"Epithelial-B cell","STCA","Malignant",0.0542328,0.13220689,11
"Epithelial-B cell","STCA","Normal",0.04849885,0.05584506,11
"Epithelial-B cell","THCA","Boundary",0.33870968,0.34687349,5
"Epithelial-B cell","THCA","Malignant",0.24528302,0.27808874,5
"Epithelial-B cell","THCA","Normal",0.06826802,0.05826343,5
"Epithelial-B cell","UCEC","Boundary",0,0.16467236,5
"Epithelial-B cell","UCEC","Malignant",0.30612245,0.28223898,5
"Epithelial-B cell","UCEC","Normal",0.13101604,0.16920277,5
"Epithelial-Endothelial","BRCA","Boundary",0.12927757,0.23626942,75
"Epithelial-Endothelial","BRCA","Malignant",0.20487805,0.24190878,75
"Epithelial-Endothelial","BRCA","Normal",0.10119048,0.13837026,75
"Epithelial-Endothelial","COCA","Boundary",0.19496855,0.20583929,27
"Epithelial-Endothelial","COCA","Malignant",0.20489297,0.28910672,27
"Epithelial-Endothelial","COCA","Normal",0.04094379,0.0983684,27
"Epithelial-Endothelial","HNCA","Boundary",0,0.21002041,26
"Epithelial-Endothelial","HNCA","Malignant",0.03674833,0.22080287,26
"Epithelial-Endothelial","HNCA","Normal",0.04409276,0.05620489,26
"Epithelial-Endothelial","KICA","Boundary",0.29239766,0.32348106,23
"Epithelial-Endothelial","KICA","Malignant",0.25714286,0.29367507,23
"Epithelial-Endothelial","KICA","Normal",0.17837838,0.19417437,23
"Epithelial-Endothelial","LICA","Boundary",0.24545502,0.20974244,12
"Epithelial-Endothelial","LICA","Malignant",0.21434381,0.17061165,12
"Epithelial-Endothelial","LICA","Normal",0.01036138,0.07849113,12
"Epithelial-Endothelial","LUCA","Boundary",0.38202647,0.36239365,22
"Epithelial-Endothelial","LUCA","Malignant",0.32071891,0.30721812,22
"Epithelial-Endothelial","LUCA","Normal",0.1324854,0.17667955,22
"Epithelial-Endothelial","OVCA","Boundary",0.28542909,0.31302209,24
"Epithelial-Endothelial","OVCA","Malignant",0.22706506,0.24266162,24
"Epithelial-Endothelial","OVCA","Normal",0.07228939,0.09534154,24
"Epithelial-Endothelial","PDAC","Boundary",0.22291548,0.23468731,14
"Epithelial-Endothelial","PDAC","Malignant",0,0.12441777,14
"Epithelial-Endothelial","PDAC","Normal",0.09657589,0.12964954,14
"Epithelial-Endothelial","PRCA","Boundary",0.1592785,0.28052967,8
"Epithelial-Endothelial","PRCA","Malignant",0.23816512,0.34114599,8
"Epithelial-Endothelial","PRCA","Normal",0.05693633,0.056923,8
"Epithelial-Endothelial","SKCA","Boundary",0.30450734,0.32730748,16
"Epithelial-Endothelial","SKCA","Malignant",0,0.0657826,16
"Epithelial-Endothelial","SKCA","Normal",0.05474993,0.06317008,16
"Epithelial-Endothelial","STCA","Boundary",0.3172043,0.37851564,11
"Epithelial-Endothelial","STCA","Malignant",0.2535545,0.25687008,11
"Epithelial-Endothelial","STCA","Normal",0.134375,0.12708506,11
"Epithelial-Endothelial","THCA","Boundary",0.3307393,0.29943941,5
"Epithelial-Endothelial","THCA","Malignant",0.22171946,0.20900588,5
"Epithelial-Endothelial","THCA","Normal",0.04116638,0.04935566,5
"Epithelial-Endothelial","UCEC","Boundary",0.18421053,0.19779449,5
"Epithelial-Endothelial","UCEC","Malignant",0.0619469,0.09558242,5
"Epithelial-Endothelial","UCEC","Normal",0.16835994,0.13815397,5
"Epithelial-Fibroblast","BRCA","Boundary",0.26169591,0.29190069,75
"Epithelial-Fibroblast","BRCA","Malignant",0.11551433,0.18615456,75
"Epithelial-Fibroblast","BRCA","Normal",0.09249184,0.14659935,75
"Epithelial-Fibroblast","COCA","Boundary",0.14021164,0.18464087,27
"Epithelial-Fibroblast","COCA","Malignant",0.10767873,0.20181613,27
"Epithelial-Fibroblast","COCA","Normal",0.04868914,0.06610325,27
"Epithelial-Fibroblast","HNCA","Boundary",0.17928929,0.2341176,26
"Epithelial-Fibroblast","HNCA","Malignant",0,0.20749505,26
"Epithelial-Fibroblast","HNCA","Normal",0.06421855,0.07804257,26
"Epithelial-Fibroblast","KICA","Boundary",0.29182879,0.32226772,23
"Epithelial-Fibroblast","KICA","Malignant",0.17467249,0.23073204,23
"Epithelial-Fibroblast","KICA","Normal",0.0877193,0.13803347,23
"Epithelial-Fibroblast","LICA","Boundary",0.26763282,0.21309421,12
"Epithelial-Fibroblast","LICA","Malignant",0.18095285,0.18319058,12
"Epithelial-Fibroblast","LICA","Normal",0.01432005,0.07517862,12
"Epithelial-Fibroblast","LUCA","Boundary",0.335568,0.30835594,22
"Epithelial-Fibroblast","LUCA","Malignant",0.2562149,0.28389362,22
"Epithelial-Fibroblast","LUCA","Normal",0.14783192,0.16509823,22
"Epithelial-Fibroblast","OVCA","Boundary",0.25075415,0.2914422,24
"Epithelial-Fibroblast","OVCA","Malignant",0.21475557,0.29687697,24
"Epithelial-Fibroblast","OVCA","Normal",0.08270933,0.11290001,24
"Epithelial-Fibroblast","PDAC","Boundary",0.27222924,0.39110299,14
"Epithelial-Fibroblast","PDAC","Malignant",0.0931677,0.21864244,14
"Epithelial-Fibroblast","PDAC","Normal",0.15253961,0.14614733,14
"Epithelial-Fibroblast","PRCA","Boundary",0.33132666,0.346856,8
"Epithelial-Fibroblast","PRCA","Malignant",0.22052689,0.22003851,8
"Epithelial-Fibroblast","PRCA","Normal",0.00997151,0.01555951,8
"Epithelial-Fibroblast","SKCA","Boundary",0.03404255,0.2646392,16
"Epithelial-Fibroblast","SKCA","Malignant",0,0.18043489,16
"Epithelial-Fibroblast","SKCA","Normal",0.05969458,0.09121077,16
"Epithelial-Fibroblast","STCA","Boundary",0.34408602,0.311897,11
"Epithelial-Fibroblast","STCA","Malignant",0.22786647,0.28038963,11
"Epithelial-Fibroblast","STCA","Normal",0.0498132,0.06758956,11
"Epithelial-Fibroblast","THCA","Boundary",0.30625,0.25833935,5
"Epithelial-Fibroblast","THCA","Malignant",0.168,0.18991,5
"Epithelial-Fibroblast","THCA","Normal",0.00503637,0.01811589,5
"Epithelial-Fibroblast","UCEC","Boundary",0.00961538,0.09197476,5
"Epithelial-Fibroblast","UCEC","Malignant",0.27876106,0.2151442,5
"Epithelial-Fibroblast","UCEC","Normal",0.03461538,0.07753015,5
"Epithelial-Mural","BRCA","Boundary",0.24647887,0.29404152,75
"Epithelial-Mural","BRCA","Malignant",0.24342105,0.26704183,75
"Epithelial-Mural","BRCA","Normal",0.1439206,0.16540323,75
"Epithelial-Mural","COCA","Boundary",0.17127072,0.19892744,27
"Epithelial-Mural","COCA","Malignant",0.19847328,0.30681722,27
"Epithelial-Mural","COCA","Normal",0.04374159,0.11058575,27
"Epithelial-Mural","HNCA","Boundary",0,0.23283679,26
"Epithelial-Mural","HNCA","Malignant",0.05732484,0.22065812,26
"Epithelial-Mural","HNCA","Normal",0.08125096,0.09234824,26
"Epithelial-Mural","KICA","Boundary",0.17486339,0.23516195,23
"Epithelial-Mural","KICA","Malignant",0.14638783,0.2090525,23
"Epithelial-Mural","KICA","Normal",0.12671233,0.12979619,23
"Epithelial-Mural","LICA","Boundary",0.34661349,0.25898769,12
"Epithelial-Mural","LICA","Malignant",0.19057084,0.1750856,12
"Epithelial-Mural","LICA","Normal",0.01123062,0.06901228,12
"Epithelial-Mural","LUCA","Boundary",0.32932791,0.2648987,22
"Epithelial-Mural","LUCA","Malignant",0.32347076,0.31931477,22
"Epithelial-Mural","LUCA","Normal",0.16193518,0.17669236,22
"Epithelial-Mural","OVCA","Boundary",0.29955918,0.32043828,24
"Epithelial-Mural","OVCA","Malignant",0.23241241,0.34173324,24
"Epithelial-Mural","OVCA","Normal",0.08272914,0.10361332,24
"Epithelial-Mural","PDAC","Boundary",0.29242311,0.30698831,14
"Epithelial-Mural","PDAC","Malignant",0,0.13244165,14
"Epithelial-Mural","PDAC","Normal",0.15818409,0.18195529,14
"Epithelial-Mural","PRCA","Boundary",0.24067156,0.28094518,8
"Epithelial-Mural","PRCA","Malignant",0.12561129,0.13979262,8
"Epithelial-Mural","PRCA","Normal",0.01016935,0.01338913,8
"Epithelial-Mural","SKCA","Boundary",0.02981651,0.25375783,16
"Epithelial-Mural","SKCA","Malignant",0,0.11226011,16
"Epithelial-Mural","SKCA","Normal",0.02676179,0.06327701,16
"Epithelial-Mural","STCA","Boundary",0.36551724,0.35951063,11
"Epithelial-Mural","STCA","Malignant",0.25730994,0.30103645,11
"Epithelial-Mural","STCA","Normal",0.06673961,0.06695362,11
"Epithelial-Mural","THCA","Boundary",0.23010753,0.31138401,5
