category,sample_id,Malignant,Boundary,Normal
Epi-TME,01_039_C1d1,0.287128712871287,0.35064935064935,0.189964157706093
Epi-TME,01_039_C3d1,0.4,0.0864905284147557,0.134120110002829
Epi-TME,1142243F,0.455,0.36734693877551,0.0568708574144325
Epi-TME,1160920F,0.178267528246712,0.376755138549158,0.190393766612363
Epi-TME,A_955_OvarianTumor,0.274647887323943,0.403725787115906,0.216580650033987
Epi-TME,A_GTFB1154_OvarianCancerTumor,0.0,0.356005417016904,0.278793745783097
Epi-TME,Ajou_Visium_P1,0.449213060365754,0.369074008958737,0.1680903352649
Epi-TME,Ajou_Visium_P2,0.227781403519751,0.478260869565217,0.107711806571122
Epi-TME,Ajou_Visium_P4,0.58718461265103,0.406171665005587,0.142140370013004
Epi-TME,B_GTFB1191_OvarianCancerTumor,0.378354375690077,0.370892018779342,0.187268010989118
Epi-TME,CID4290,0.453947368421052,0.472636815920398,0.125319726556111
Epi-TME,CID4465,0.303030303030303,0.288861610027135,0.178541252604391
Epi-TME,CID44971,0.30546721187339,0.280701754385964,0.19451086243202
Epi-TME,CID4535,0.36231884057971,0.424657534246575,0.229078146685171
Epi-TME,C_GTFB1170_SmallCellOvarianCancer,0.0,0.478260869565217,0.13359352728473
Epi-TME,Colon_10x_Visium_SampleP2_CRC,0.238609539399546,0.406163674033149,0.105526312522501
Epi-TME,CytAssist_11mm_FFPE_Human_Lung_Cancer_230214,0.130645048557975,0.386101321996606,0.186997918926307
Epi-TME,CytAssist_11mm_FFPE_Human_Ovarian_Carcinoma_220715,0.22096235384813,0.615384615384615,0.0562239346622433
Epi-TME,CytAssist_FFPE_Human_Lung_Squamous_Cell_Carcinoma_220714,0.296356969646699,0.490824915824915,0.350812082176956
Epi-TME,CytAssist_Fresh_Frozen_Human_Breast_Cancer_230107,0.381932055418485,0.383899769585253,0.315039970254694
Epi-TME,D_GTFB1170_SmallCellOvarianCancer,0.273216796393732,0.379310344827586,0.146930574555403
Epi-TME,D_GTFB_1230_OvarianTumor,0.0,0.689655172413793,0.103181525802925
Epi-TME,E_MTAB_13530_P10_T1,0.251125968098684,0.358212072686764,0.3040810448677
Epi-TME,E_MTAB_13530_P10_T2,0.226315789473684,0.417217567055454,0.115384938045821
Epi-TME,E_MTAB_13530_P10_T3,0.53072625698324,0.0,0.0413962347518195
Epi-TME,E_MTAB_13530_P10_T4,0.25,0.421524356869184,0.103519718041531
Epi-TME,E_MTAB_13530_P11_T1,0.388659320477502,0.436781609195402,0.296748318924111
Epi-TME,E_MTAB_13530_P11_T2,0.790697674418604,0.351628857112138,0.2175949495978
Epi-TME,E_MTAB_13530_P11_T3,0.0,0.323076923076923,0.273646146103694
Epi-TME,E_MTAB_13530_P11_T4,0.0,0.0,0.30368195340571
Epi-TME,E_MTAB_13530_P15_T1,0.439024390243902,0.389029892836999,0.258101264050485
Epi-TME,E_MTAB_13530_P15_T2,0.482092471463383,0.319970538720538,0.224491587050828
Epi-TME,E_MTAB_13530_P16_T1,0.55614973262032,0.375886524822695,0.160423091202521
Epi-TME,E_MTAB_13530_P16_T2,0.0,0.25531914893617,0.154329107101609
Epi-TME,E_MTAB_13530_P17_T1,0.437218468468468,0.446264541218277,0.37821365518926
Epi-TME,E_MTAB_13530_P17_T2,0.506526819293825,0.39007656011041,0.247917329753815
Epi-TME,E_MTAB_13530_P19_T1,0.384384384384384,0.416088721613735,0.301800362203046
Epi-TME,E_MTAB_13530_P19_T2,0.364834017895021,0.372215329473394,0.498181818181818
Epi-TME,E_MTAB_13530_P24_T1,0.0,0.0,0.0871636280951884
Epi-TME,E_MTAB_13530_P24_T2,0.188380768168002,0.369698852303567,0.0921177941491867
Epi-TME,E_MTAB_13530_P25_T1,0.259259259259259,0.348684210526315,0.276426248891516
Epi-TME,E_MTAB_13530_P25_T2,0.0,0.44776119402985,0.164871230549442
Epi-TME,GSE144239_GSM4565823,0.0,0.0,0.301782714629458
Epi-TME,GSE144239_GSM4565825,0.340713273709377,0.410818713450292,0.109230509289645
Epi-TME,GSE144239_GSM4565826,0.851851851851851,0.0,0.109500425725208
Epi-TME,GSE251950_20_00331_LI_SING,0.313616872543754,0.367034432121188,0.204086119267285
Epi-TME,GSE251950_21_00731_LI_SING,0.364703389830508,0.314485514485514,0.0929200143902146
Epi-TME,GSE251950_21_00732_LI_SING,0.149543074332097,0.444368131868131,0.0723349686282752
Epi-TME,GSE251950_21_00733_LI_SING,0.0,0.447698744769874,0.098400138670899
Epi-TME,GSE251950_21_00734_LI_SING,0.281465498915862,0.374572100984167,0.147359909370023
Epi-TME,GSE251950_21_01251_LI_SING,0.329861111111111,0.318888728393278,0.173175956430473
Epi-TME,GSE251950_21_01253_LI_SING,0.267687263999063,0.469879518072289,0.167737932561471
Epi-TME,GSE251950_21_01254_LI_SING,0.338983050847457,0.385661477429825,0.137409882621257
Epi-TME,GSE251950_21_01675_LI_SING,0.273755787037037,0.412544116164162,0.12605609975981
Epi-TME,GSM5494475_HNSCC201125T04,0.329411764705882,0.330128205128205,0.174114865451533
Epi-TME,GSM5494476_HNSCC201125T05,0.304677291519396,0.53030303030303,0.133931240657698
Epi-TME,GSM5494477_HNSCC201125T07,0.0,0.0,0.197051385137689
Epi-TME,GSM5494478_HNSCC201125T10,0.0,0.443298969072164,0.162915824794342
Epi-TME,GSM5494480_P210325T3,0.0,0.868421052631579,0.112359296281208
Epi-TME,GSM5494481_P210325T5,0.0,0.526315789473684,0.160355747714946
Epi-TME,GSM5494482_P210325T6,0.0,0.0,0.182400489063985
