"category","sample_id","Region","value"
"Epi-Epi","GSM5924037_ffpe_c_34","Boundary",0.453416149068323
"Epi-Epi","GSM5924037_ffpe_c_34","Normal",0.339451661767037
"Epi-Epi","GSM5924038_ffpe_c_36","Malignant",0.495780515596068
"Epi-Epi","GSM5924038_ffpe_c_36","Boundary",0.357774140752864
"Epi-Epi","GSM5924038_ffpe_c_36","Normal",0.252232123799359
"Epi-Epi","GSM5924039_ffpe_c_39","Malignant",0.342987897585598
"Epi-Epi","GSM5924039_ffpe_c_39","Boundary",0.528609950745059
"Epi-Epi","GSM5924039_ffpe_c_39","Normal",0.328946667486221
"Epi-Epi","GSM5924040_ffpe_c_45","Malignant",0.553356005228252
"Epi-Epi","GSM5924040_ffpe_c_45","Boundary",0.5183468765871
"Epi-Epi","GSM5924040_ffpe_c_45","Normal",0.413656440795925
"Epi-Epi","GSM5924041_ffpe_c_51","Malignant",0.303088803088803
"Epi-Epi","GSM5924041_ffpe_c_51","Boundary",0.412003968253968
"Epi-Epi","GSM5924041_ffpe_c_51","Normal",0.294060655606629
"Epi-Epi","GSM5924042_frozen_a_1","Malignant",0.635502350176263
"Epi-Epi","GSM5924042_frozen_a_1","Boundary",1
"Epi-Epi","GSM5924042_frozen_a_1","Normal",0.390353805073431
"Epi-Epi","GSM5924043_frozen_a_3","Malignant",0.496615640945537
"Epi-Epi","GSM5924043_frozen_a_3","Boundary",0
"Epi-Epi","GSM5924043_frozen_a_3","Normal",0.65806524748222
"Epi-Epi","GSM5924044_frozen_a_15","Malignant",0.655793686983837
"Epi-Epi","GSM5924044_frozen_a_15","Boundary",0.462980604351636
"Epi-Epi","GSM5924044_frozen_a_15","Normal",0.444725508037609
"Epi-Epi","GSM5924045_frozen_a_17","Malignant",1
"Epi-Epi","GSM5924045_frozen_a_17","Boundary",1
"Epi-Epi","GSM5924045_frozen_a_17","Normal",0.592959619300542
"Epi-Epi","GSM5924046_frozen_b_1","Malignant",0.817587641117052
"Epi-Epi","GSM5924046_frozen_b_1","Boundary",1
"Epi-Epi","GSM5924046_frozen_b_1","Normal",0.407500436071864
"Epi-Epi","GSM5924048_frozen_b_13","Malignant",0.21656050955414
"Epi-Epi","GSM5924048_frozen_b_13","Boundary",0.926470588235294
"Epi-Epi","GSM5924048_frozen_b_13","Normal",0.593748013332243
"Epi-Epi","GSM5924049_frozen_b_18","Malignant",0.805961344946042
"Epi-Epi","GSM5924049_frozen_b_18","Boundary",0.722627737226277
"Epi-Epi","GSM5924049_frozen_b_18","Normal",0.56826250213347
"Epi-Epi","GSM5924050_frozen_c_2","Malignant",1
"Epi-Epi","GSM5924050_frozen_c_2","Boundary",1
"Epi-Epi","GSM5924050_frozen_c_2","Normal",0.445073883102052
"Epi-Epi","GSM5924051_frozen_c_5","Malignant",0.46938775510204
"Epi-Epi","GSM5924051_frozen_c_5","Boundary",0.688741721854304
"Epi-Epi","GSM5924051_frozen_c_5","Normal",0.406780626780626
"Epi-Epi","GSM5924052_frozen_c_23","Malignant",0.554373522458628
"Epi-Epi","GSM5924052_frozen_c_23","Boundary",0.571415373244641
"Epi-Epi","GSM5924052_frozen_c_23","Normal",0.506874302606982
"Epi-Epi","GSM6030901_patient_1","Malignant",0.334299628942486
"Epi-Epi","GSM6030901_patient_1","Boundary",0.321052631578947
"Epi-Epi","GSM6030901_patient_1","Normal",0.368860305691725
"Epi-Epi","GSM6030902_patient_2","Malignant",0
"Epi-Epi","GSM6030902_patient_2","Boundary",0.455882352941176
