LR pair,Median Jaccard index,No. of cancer types tested,No. of cancer types with P < 0.01,Replication P value,BH-adjusted q value (FDR),Rank
SYK-FCGR2A,0.0274436090225563,13,10,2.7827128e-18,4.51058330604651e-17,26
ADAM9-ITGAV,0.0274024024024023,13,8,1.2308202828208e-13,7.49241691813185e-13,27
GRN-TNFRSF1A,0.0272121436504998,13,10,2.7827128e-18,4.51058330604651e-17,28
LAMB3-ITGA3,0.0267261904761904,13,10,2.7827128e-18,4.51058330604651e-17,29
TNC-SDC4,0.0266714082503555,13,8,1.2308202828208e-13,7.49241691813185e-13,30
TNFSF12-TNFRSF12A,0.0260135135135135,13,8,1.2308202828208e-13,7.49241691813185e-13,31
PLAU-ITGB1,0.0258161225849433,13,11,7.65766e-21,2.96521612222222e-19,32
SERPINE1-ITGAV,0.0256410256410256,13,9,6.8960885995e-16,6.49536993763716e-15,33
PLAU-IGF2R,0.0250352057580972,13,11,7.65766e-21,2.96521612222222e-19,34
S100A8-CD68,0.0245629897528631,13,10,2.7827128e-18,4.51058330604651e-17,35
COL7A1-ITGA2,0.0244047619047619,13,7,1.62788813920032e-11,6.81464284097673e-11,36
FN1-SDC2,0.0244047619047619,13,8,1.2308202828208e-13,7.49241691813185e-13,37
ANXA1-FPR3,0.0244047619047619,13,10,2.7827128e-18,4.51058330604651e-17,38
CD14-TLR4,0.0230857851825593,13,8,1.2308202828208e-13,7.49241691813185e-13,39
SYK-LAT,0.0227390180878552,13,6,1.61570301840039e-09,5.00508890588923e-09,40
ADAM17-RHBDF2,0.0227272727272727,13,5,1.20372945191273e-07,2.71960916688226e-07,41
COL4A1-ITGA1,0.022100122100122,13,8,1.2308202828208e-13,7.49241691813185e-13,42
ICAM3-ITGB2,0.0219024780175859,13,10,2.7827128e-18,4.51058330604651e-17,43
SPP1-ITGB1,0.021780303030303,13,11,7.65766e-21,2.96521612222222e-19,44
ICAM1-ITGAM,0.0212765957446808,13,8,1.2308202828208e-13,7.49241691813185e-13,45
FN1-ITGAV,0.021164613661814,13,10,2.7827128e-18,4.51058330604651e-17,46
FN1-C5AR1,0.0210736468500443,13,11,7.65766e-21,2.96521612222222e-19,47
VCAM1-ITGB2,0.0209831254585472,13,11,7.65766e-21,2.96521612222222e-19,48
ADAM17-ITGA5,0.0208423795049934,13,7,1.62788813920032e-11,6.81464284097673e-11,49
PLAU-ITGB5,0.0207303974221267,13,7,1.62788813920032e-11,6.81464284097673e-11,50
PLAU-ST14,0.0207303974221267,13,10,2.7827128e-18,4.51058330604651e-17,51
GRN-TNFRSF1B,0.0206207482993197,13,9,6.8960885995e-16,6.49536993763716e-15,52
INHBA-ACVR1,0.020545073375262,13,5,1.20372945191273e-07,2.71960916688226e-07,53
COL6A2-ITGA1,0.0204166666666666,13,12,1.288e-23,1.12217e-21,54
LAMB3-ITGB1,0.0202205882352941,13,10,2.7827128e-18,4.51058330604651e-17,55
ADAM9-ITGA3,0.020204081632653,13,5,1.20372945191273e-07,2.71960916688226e-07,56
