cancer_type,lr_pair,sc_lr_score,visium_median_jaccard,x_sc_scaled,y_visium_scaled
STCA,HGF-ITGB1,0.9007014,0.0714285714285714,0.512334248687835,0.798612245332053
STCA,HGF-MET,0.16862422,0.0512396694214876,0.0959163192865829,0.572888784254729
STCA,HGF-NRP1,0.5953146,0.0627240143369175,0.338625051902771,0.701290322961838
STCA,HRAS-CAV1,1.1465348,0.0717131474103585,0.652168460438118,0.801793967425009
STCA,HRAS-INSR,0.5245528,0.0465116279069767,0.298374538648547,0.520026578355755
STCA,HRAS-SDC2,0.5683365,0.0361842105263157,0.323279450580818,0.404560150595841
STCA,HSPA1A-TLR4,1.3064815,0.0373831775700934,0.743148859019266,0.417965287276588
STCA,HSPG2-COL13A1,0.2191128,0.0758293838862559,0.124635080800238,0.847815843385686
STCA,HSPG2-FGFR1,1.3134872,0.113924050632911,0.747133820124059,1.0
STCA,HSPG2-ITGA2,0.22652605,0.0572519083969465,0.128851863264532,0.640109051602027
STCA,HSPG2-ITGB1,2.3820906,0.0775862068965517,1.0,0.867458128550333
STCA,HSPG2-LRP1,1.4015398,0.0656205420827389,0.797219633986467,0.733675158336436
STCA,ICAM1-CAV1,1.6100597,0.0757855822550831,0.915829293417398,0.847326116119405
STCA,ICAM1-EGFR,0.60479194,0.0500834724540901,0.34401592380378,0.559961841468217
STCA,IGFBP4-LRP6,1.2250454,0.0476190476190476,0.696826622693701,0.532408163554702
STCA,IL6-F3,0.26135287,0.0400890868596882,0.148661949780315,0.448218899384582
STCA,INHBA-ENG,1.2129045,0.0810185185185185,0.689920672642004,0.905833333825708
STCA,INHBA-SMAD3,0.15068483,0.0339622641509433,0.0857120896744517,0.379717520422031
STCA,INHBA-TGFBR3,0.2532539,0.0515021459227467,0.144055118137669,0.575823421526973
STCA,INHBB-ACVR1,0.193706,0.0241758241758241,0.110183261596269,0.270299529189309
STCA,JAG1-CD46,0.9317602,0.053375196232339,0.530001021453088,0.596765194314061
STCA,JAG1-NOTCH1,0.8131849,0.0740037950664136,0.462553377607487,0.827404717175144
STCA,JAG1-NOTCH2,0.35502493,0.0498533724340175,0.201944207899534,0.557389191756681
STCA,JAG1-NOTCH3,1.1584418,0.134892086330935,0.658941364198594,1.0
STCA,JAG2-NOTCH1,0.3213229,0.0775577557755775,0.18277392103276,0.867140028759885
STCA,JAG2-NOTCH2,0.3080755,0.0514469453376205,0.175238574994586,0.575206247441735
STCA,JAG2-NOTCH3,1.1114923,0.104100946372239,0.632235691476458,1.0
STCA,JAM3-ITGB1,1.287703,0.0563798219584569,0.732467329392484,0.630358626879305
STCA,LAMA4-ITGA3,0.6869983,0.0547112462006079,0.390776297095041,0.611702996424551
STCA,LAMA4-ITGA6,1.2260501,0.0561056105610561,0.697398113111787,0.627292786762471
STCA,LAMA4-ITGAV,0.820787,0.0921052631578947,0.466877581158131,1.0
STCA,LAMA4-ITGB1,1.5324771,0.0845070422535211,0.871698993317666,0.944837022646372
STCA,LAMA5-BCAM,0.926487,0.0785123966942148,0.52700153576318,0.877813459745148
STCA,LAMA5-ITGA2,0.31525785,0.0634249471458773,0.179324017618594,0.709127152303302
STCA,LAMA5-ITGA3,0.42968848,0.0690298507462686,0.244414102798794,0.771793177391797
STCA,LAMA5-ITGA6,0.8193,0.0626398210290827,0.466031750311416,0.700348993669272
STCA,LAMA5-ITGB1,1.4251888,0.068762278978389,0.810671586706002,0.768801572127124
STCA,LAMA5-ITGB4,0.42550683,0.066543438077634,0.242035509281536,0.743993662934112
STCA,LAMB1-ITGA1,1.1265582,0.0777027027027027,0.640805431189648,0.868760618232842
STCA,LAMB1-ITGA2,0.44710553,0.0595482546201232,0.254321216550486,0.665783514588939
STCA,LAMB1-ITGA3,0.5114368,0.0686274509803921,0.29091393516132,0.767294118064129
