"lr_pair","cancer_type","strength","group_pair","z_score"
"APP-CAV1","LUCA",0.096107,"Endothelial-Mural",-0.0327725
"APP-CD74","LUCA",0.0648769,"Endothelial-Mural",0.30239218
"COL18A1-ITGB1","LUCA",0.05153992,"Endothelial-Mural",-0.8562959
"COL18A1-KDR","LUCA",0.01077577,"Endothelial-Mural",-0.6681367
"COL1A1-ITGA5","LUCA",0.01363192,"Endothelial-Mural",-0.5969292
"COL1A1-ITGAV","LUCA",0.00464292,"Endothelial-Mural",-0.5905488
"COL1A2-ITGA1","LUCA",0.01498931,"Endothelial-Mural",7.6e-05
"COL1A2-ITGAV","LUCA",0.00585903,"Endothelial-Mural",-0.6306707
"COL4A1-CD47","LUCA",0.01046718,"Endothelial-Mural",-0.254546
"COL4A1-ITGA1","LUCA",0.03430687,"Endothelial-Mural",0.1320564
"COL4A1-ITGAV","LUCA",0.00668914,"Endothelial-Mural",-0.6997641
"COL5A2-ITGB1","LUCA",0.01342957,"Endothelial-Mural",-0.7405397
"COL6A1-ITGA1","LUCA",0.01087352,"Endothelial-Mural",0.08642925
"COL6A2-ITGA1","LUCA",0.01482206,"Endothelial-Mural",-0.1093779
"COL6A2-ITGB1","LUCA",0.06323799,"Endothelial-Mural",-0.7135855
"COL6A3-ITGA1","LUCA",0.00082515,"Endothelial-Mural",-0.8815838
"COL6A3-ITGB1","LUCA",0.00369182,"Endothelial-Mural",-0.9835994
"EDN1-EDNRA","LUCA",0.00421636,"Endothelial-Mural",0.25894865
"EFEMP2-AQP1","LUCA",0.01397722,"Endothelial-Mural",0.48961512
"FYN-THY1","LUCA",0.00457529,"Endothelial-Mural",-0.3690608
"GNAI2-EDNRA","LUCA",0.0349993,"Endothelial-Mural",1.17640868
"GNAI2-F2R","LUCA",0.00164784,"Endothelial-Mural",-0.6337409
"GNAI2-S1PR1","LUCA",0.00533866,"Endothelial-Mural",-0.0836055
"GNAI2-S1PR3","LUCA",0.00839533,"Endothelial-Mural",-0.3923645
"HBEGF-CD44","LUCA",0.00140222,"Endothelial-Mural",-0.5387324
"ICAM1-CAV1","LUCA",0.02120312,"Endothelial-Mural",-0.4249212
"LAMA4-ITGA6","LUCA",0.00422053,"Endothelial-Mural",-0.5926205
"LAMA4-ITGAV","LUCA",0.00177449,"Endothelial-Mural",-0.6774519
"LAMC1-ITGA1","LUCA",0.00271908,"Endothelial-Mural",-0.6661962
"LAMC1-ITGAV","LUCA",0.00105483,"Endothelial-Mural",-0.8120626
"LUM-ITGB1","LUCA",0.00938743,"Endothelial-Mural",-0.5044584
"PGF-NRP1","LUCA",0.00340856,"Endothelial-Mural",-0.6585782
"PGF-NRP2","LUCA",0.00101459,"Endothelial-Mural",-0.998135
"THBS1-ITGA6","LUCA",0.00370257,"Endothelial-Mural",-0.4652201
"THBS1-ITGB1","LUCA",0.01391005,"Endothelial-Mural",-0.4365072
