"cell_pair","cancer_type","row_order","col_order","value","raw_J_comp_agg","mask","n_cancer_topk","top_k","agg","value_type","fill_label","fill_min","fill_mid","fill_max"
"B cell-Endothelial","LUCA",10,13,-0.7282886,0.14425608,FALSE,2,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"Mural-T cell","LICA",11,1,0.41881,0.75930218,FALSE,1,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"Mural-T cell","BRCA",11,2,-0.6461245,0.16470588,FALSE,1,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"Mural-T cell","KICA",11,3,-0.7573745,0.07058824,FALSE,1,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"Mural-T cell","COCA",11,4,-0.3535095,0.28927849,FALSE,1,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"Mural-T cell","PACA",11,5,-0.5364397,0.13466371,FALSE,1,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"Mural-T cell","STCA",11,6,-0.7138242,0.1600736,FALSE,1,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"Mural-T cell","UECA",11,7,-0.1073297,0.40909091,FALSE,1,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"Mural-T cell","HNCA",11,8,-1.041008,0.1476654,FALSE,1,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"Mural-T cell","SKCA",11,9,-0.2758813,0.27017184,FALSE,1,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"Mural-T cell","THCA",11,10,0.08682288,0.3086104,FALSE,1,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"Mural-T cell","PRCA",11,11,-1.4357477,0.08183704,FALSE,1,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"Mural-T cell","OVCA",11,12,-0.9481398,0.04832318,FALSE,1,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"Mural-T cell","LUCA",11,13,-0.8686202,0.11982969,FALSE,1,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"Fibroblast-T cell","LICA",12,1,0.11336857,0.74263946,FALSE,1,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"Fibroblast-T cell","BRCA",12,2,-0.7682054,0.14201183,FALSE,1,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"Fibroblast-T cell","KICA",12,3,-0.6548632,0.08675799,FALSE,1,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"Fibroblast-T cell","COCA",12,4,-1.3039009,0.2020202,FALSE,1,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"Fibroblast-T cell","PACA",12,5,-0.9136109,0.09637016,FALSE,1,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"Fibroblast-T cell","STCA",12,6,-0.9762049,0.13479624,FALSE,1,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"Fibroblast-T cell","UECA",12,7,0.06552693,0.42380261,FALSE,1,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"Fibroblast-T cell","HNCA",12,8,-0.8928552,0.16580882,FALSE,1,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"Fibroblast-T cell","SKCA",12,9,-1.1086159,0.19853939,FALSE,1,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"Fibroblast-T cell","THCA",12,10,-1.6298764,0.108252,FALSE,1,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"Fibroblast-T cell","PRCA",12,11,-0.5131734,0.24368746,FALSE,1,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"Fibroblast-T cell","OVCA",12,12,-0.8933026,0.06247549,FALSE,1,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"Fibroblast-T cell","LUCA",12,13,-0.9065462,0.11322824,FALSE,1,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"Fibroblast-Myeloid","LICA",13,1,-0.7176017,0.69730763,FALSE,1,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"Fibroblast-Myeloid","BRCA",13,2,-0.4904309,0.19364833,FALSE,1,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"Fibroblast-Myeloid","KICA",13,3,-0.478198,0.11462451,FALSE,1,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"Fibroblast-Myeloid","COCA",13,4,-0.445616,0.28082192,FALSE,1,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"Fibroblast-Myeloid","PACA",13,5,-0.6604929,0.1220688,FALSE,1,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"Fibroblast-Myeloid","STCA",13,6,-0.5441187,0.17642276,FALSE,1,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
