sample_id,Malignant,Boundary,Normal
GSM7757978_R2-S3,0.439393252312715,0.413377680319062,0.339407744874715
GSM7757979_R2-S4,0.207638319205177,1.0,0.247104247104247
GSM7757980_R2-S5,0.251798561151079,0.610169491525423,0.173861283643892
GSM7757982_R3-S2,0.243116948724425,0.296296296296296,0.186227013701961
GSM7757983_R3-S3,0.125,0.944444444444444,0.118449656750572
GSM7757984_R3-S4,0.36672149122807,0.308180267646287,0.319770192074981
GSM7757985_R3-S5,0.333184921341644,0.552985739750445,0.266788018539747
GSM7777521_B1,0.0,0.0,0.34054061635126
GSM7777522_C1,0.367665434145097,0.548387096774193,0.561403508771929
GSM7777523_D1,0.0,0.0,0.301906241906241
GSM7850822_CHC20,0.398548819601451,0.617647058823529,0.223599441312185
HCC1R,0.528169237605535,0.49,0.643465909090909
HCC3R,0.459614787200994,1.0,0.575328891649257
HCC4R,0.757425742574257,1.0,0.531955086264929
HCC6NR,0.777777777777777,0.603015873015873,0.509796985199512
HCC7NR,0.661064425770308,0.600578808933188,0.613151000317561
HRA000437_HCC-1T,0.382793792953322,0.924528301886792,0.575849113383823
HRA000437_HCC-2T,0.425866206689665,0.558028537414079,0.486575672391679
HRA000437_HCC-3T,1.0,0.764592323415852,0.364457968636032
HRA000437_HCC-4T,0.520944158195237,0.44896034702249,0.423509491291181
Parent_Visium_Human_BreastCancer_201027,0.569769886049341,0.508853684920124,0.452517099597884
Parent_Visium_Human_ColorectalCancer_201027,0.65082203815261,0.0930232558139534,0.407389904081775
Parent_Visium_Human_OvarianCancer_201027,0.437193953587396,0.452909556417526,0.273576903744659
S16_43398,0.495542337855023,0.412280701754385,0.193774059928457
S20_47598,0.361436312550173,0.5,0.141185974103789
S20_61122,0.439326832937583,0.48471499132292,0.247658510918179
S20_63981,0.489275445658424,0.479205974842767,0.298168113775324
S21_10267,0.242354578734723,0.588057040998217,0.341268235095707
SN048_A121573_Rep1,0.56430735823215,0.528312149318676,0.339253754676499
SN048_A121573_Rep2,0.717592592592592,0.532374100719424,0.360752185951004
SN048_A416371_Rep1,0.404374850585704,0.0,0.349501222217512
SN048_A416371_Rep2,0.571428571428571,0.0,0.258691455430585
SN123_A551763_Rep1,0.0,0.0,0.39751312944084
SN123_A595688_Rep1,0.459595959595959,0.292599966815994,0.4
SN123_A938797_Rep1_X,0.0,0.463234410669229,0.3015651609764
SN124_A595688_Rep2,0.473282442748091,1.0,0.694117647058823
SN124_A938797_Rep2,0.552083333333333,0.406015037593984,0.302172576054464
SN84_A120838_Rep1,1.0,0.416666666666666,0.568720379146919
SN84_A120838_Rep2,0.635802469135802,0.597826086956521,0.437759622179705
V10F24-015_A1,1.0,0.541666666666666,0.262922908871633
V10F24-015_B1,0.254826254826254,0.475,0.357484007651644
V10F24-015_C1,0.75,0.556213017751479,0.395264051621667
V10F24-015_D1,0.0,0.676056338028169,0.342395359270303
V11A20-405_C1,0.315102484788741,0.506944444444444,0.293718378194778
V11A20-405_D1,0.391809745221716,0.572009167051375,0.279366085672345
V11M22-349_C1,0.376860135524159,0.662785975362122,0.151255527016408
V11M22-349_D1,0.6,0.372877019030865,0.3558981657179
V1_Breast_Cancer_Block_A_Section_2_200623,0.362987761374238,0.456397751694494,0.189477476111026
V1_Human_Invasive_Ductal_Carcinoma_210511,0.42391304347826,0.495867768595041,0.194803931304705
Visium_FFPE_Human_Breast_Cancer_210609,0.533101045296167,0.437699680511182,0.324854684956986
Visium_FFPE_Human_Intestinal_Cancer_220329,0.479492109268605,0.435227916343269,0.257096475197885
Visium_FFPE_Human_Ovarian_Cancer_220329,0.319932659932659,0.412280701754385,0.193297529228819
Visium_FFPE_Human_Prostate_Acinar_Cell_Carcinoma_211009,0.54985380116959,0.608,0.191259731442844
Visium_FFPE_Human_Prostate_Cancer_210609,0.409343219549223,0.506493506493506,0.253504443462463
Visium_FFPE_Human_Prostate_IF_220713,0.481818181818181,0.259259259259259,0.313687907588312
Visium_Human_Breast_Cancer_220702,0.479005618521747,0.356053714533246,0.241210807521913
WSSKNKCLsp12140270,0.43103448275862,0.0,0.168589189548567
WSSKNKCLsp12140271,0.36231884057971,0.587778568041726,0.252809045505274
WSSKNKCLsp12140272,0.0,0.511627906976744,0.29334707858383
WSSKNKCLsp12140273,0.0,0.0,0.198049683928344
WSSKNKCLsp12887267,0.625,0.807692307692307,0.193749015903007
WSSKNKCLsp12887268,0.0,0.0,0.163317372101818
WSSKNKCLsp12887269,0.690721649484536,0.277777777777777,0.212378090102831
Zenodo10119273_Tumor2,0.522588126159554,0.587386877828054,0.467848008768724
scCRLM_Atlas_ST-colon1,0.463235294117647,0.453987730061349,0.400216469106704
scCRLM_Atlas_ST-colon2,0.0,0.59375,0.234008227797047
scCRLM_Atlas_ST-colon3,0.266666666666666,0.347368421052631,0.240791394658205
scCRLM_Atlas_ST-colon4,0.422947997366955,0.55440414507772,0.337310181204626
